"","h1","linktext","url","description","note","url.n"
"1","FUB","whiteboard","https://mycampus.imp.fu-berlin.de/x/UxPj6c","#10283","",""
"2","FUB","blackboard","https://fu-berlin.blackboard.com/webapps/portal/execute/tabs/tabAction?tab_tab_group_id=_1_1","","",""
"3","FUB","PRIMO","https://fu-berlin.primo.exlibrisgroup.com/discovery/search?vid=49KOBV_FUB:FUB","","",""
"4","FUB","KVV FUB","https://www.fu-berlin.de/vv/de/fb","","",""
"5","FUB","KVV potsdam","https://puls.uni-potsdam.de/qisserver/rds?state=wtree&search=1&category=veranstaltung.browse&topitem=lectures&subitem=lectureindex&breadcrumb=lectureindex","","",""
"6","FUB","KVV HUB","https://agnes.hu-berlin.de/lupo/rds?state=wtree&search=1&category=veranstaltung.browse&navigationPosition=functions%2Clectureindex&breadcrumb=lectureindex&topitem=functions&subitem=lectureindex","","",""
"7","FUB","userpage DAV","https://webdav.zedat.fu-berlin.de","","",""
"8","FUB","FU wiki","https://wikis.fu-berlin.de/spacedirectory/view.action","","",""
"9","FUB","FU videopool","https://fu-berlin.eu.vbrickrev.com/#/media/all","","",""
"10","FUB","mensa pinnwand FUB","https://userblogs.fu-berlin.de/mensapinnwand","modus in development","",""
"11","FUB","github","https://github.com/esteeschwarz/DH_essais","","",""
"12","FUB","MongoDB","https://cloud.mongodb.com","","",""
"13","linguistics","BAS webservices","https://clarin.phonetik.uni-muenchen.de/BASWebServices/interface","speech signals processing","",""
"14","linguistics","diff match patch","https://neil.fraser.name/software/diff_match_patch/demos/diff.html","","compare text tool. cf: cdnjs","https://cdnjs.com/libraries/diff_match_patch"
"15","linguistics","gephi","https://gephi.org","network analysis tools","",""
"16","linguistics","cytoscape","https://cytoscape.org/download.html","network analysis tools","",""
"17","linguistics","text processing API","http://text-processing.com","natural language analysis APIs","",""
"18","linguistics","DTA cab","https://www.deutschestextarchiv.de/public/cab/file","deutsches textarchiv:: tokenizer","",""
"19","linguistics","voyant tools","https://voyant-tools.org","online text analysis","",""
"20","linguistics","MAXQDA","https://www.maxqda.com/de/","qualitative data analysis","",""
"21","linguistics","maxqda alternatives","https://alternativeto.net/software/maxqda/","qualitative data analysis","",""
"22","linguistics","taquette","https://www.taguette.org/getting-started.html","qualitative data analysis","",""
"23","linguistics","forTEXT","https://fortext.net/routinen/methoden/stilometrie","stilometrie","",""
"24","linguistics","reaktanz","https://reaktanz.de/?c=hacking&s=koRpus","R-packages (NLP:: psych:: various) ","",""
"25","linguistics","GoldVarb","https://albuquerque.bioinformatics.uottawa.ca/lab/software.html","variable coding:: predictability:: statistics","",""
"26","linguistics","easy linavis","https://exit.rotefadenbuecher.de/uni/public/ezlinavis/","netzwerkvisualisierung","",""
"27","linguistics","shiny dracor","https://shiny.dracor.org","drama networks","",""
"28","linguistics","AntConc","http://www.laurenceanthony.net/software/antconc/","laurence anthony corpus analysis tool","",""
"29","linguistics","ELAN","https://archive.mpi.nl/tla/elan","annotation / transkriptionssoftware","",""
"30","linguistics","EXMARALDA","https://exmaralda.org","annotation / transkriptionssoftware","",""
"31","linguistics","language archive","https://archive.mpi.nl/tla/accepted-metadata","on CMDI metadata (ELAN)","",""
"32","linguistics","CMDI maker","https://cmdi-maker.uni-koeln.de","","",""
"33","linguistics","jsSyntaxTree","http://www.ironcreek.net/syntaxtree/","","",""
"34","linguistics","treetagger","https://cis.uni-muenchen.de/~schmid/tools/TreeTagger/","PoS tagging tools","",""
"35","linguistics","RFTagger","https://www.cis.lmu.de/~schmid/tools/RFTagger/","PoS tagging tools","",""
"36","linguistics","stanfordNLP","https://nlp.stanford.edu/software/tagger.shtml","PoS tagging tools","",""
"37","linguistics","WebLicht","https://weblicht.sfs.uni-tuebingen.de/weblicht/","NLP toolchains for e.g. EXMARaLDA PoS tagging etc.","",""
"38","linguistics","DURM","https://www.semanticsoftware.info/durm-german-lemmatizer","german lemmatizer","",""
"39","linguistics","laurence anthony TagAnt","https://www.laurenceanthony.net/software/tagant/","","",""
"40","linguistics","stanford parser","https://github.com/stanfordnlp/CoreNLP","","",""
"41","linguistics","TEI conversion","https://oxgarage2.tei-c.org/#","","",""
"42","linguistics","IPA","https://ipa.typeit.org/full/","phonetic transcription","",""
"43","linguistics","IPA::2nd","https://westonruter.github.io/ipa-chart/keyboard/","phonetic transcription","",""
"44","linguistics","R string processing","https://stringi.gagolewski.com","","",""
"45","linguistics","SIL glossary of linguistic terms","https://glossary.sil.org/term","","",""
"46","linguistics","ELL","https://dbis.ur.de/detail.php?bib_id=fub&colors=&ocolors=&lett=fs&tid=0&titel_id=6277","Encyclopedia Language and Linguistics (Elsevier 2006) (VPN!)","",""
"47","linguistics","Sprachtheorie","https://www.christianlehmann.eu/ling/ling_theo/index.html","","",""
"48","linguistics","online dictionaries linguistics","http://mmmann.de/Sprache/online-wbb-ling.html","","",""
"49","linguistics","GRAMMIS","https://grammis.ids-mannheim.de/progr@mm/4055","IDS","",""
"50","linguistics","living handbook of narratology","http://www.lhn.uni-hamburg.de/contents.html","","",""
"51","linguistics","WALS world atlas of language structures","https://wals.info/feature/67A#2/25.5/148.2","","",""
"52","linguistics","glottolog","https://glottolog.org","catalogue of languages and families","",""
"53","linguistics","REDE","https://www.regionalsprache.de","regionalsprachenatlas D","",""
"54","linguistics","AADG","https://prowiki.ids-mannheim.de//bin/view/AADG/WebHome","IDS - Atlas zur Aussprache des deutschen Gebrauchsstandards","",""
"55","linguistics","linguistic atlas project","https://linguisticatlasproject.org","LANE","",""
"56","linguistics","GAIS","http://prowiki.ids-mannheim.de/bin/view/GAIS/TranskriptionIndex","transkriptionsindex","",""
"57","linguistics","GATE","https://gate.ac.uk/sale/tao/index.html","NLP framework","",""
"58","linguistics","Carto Dialect","http://lig-tdcge.imag.fr/cartodialect5/#/","atlas linguistique de france","",""
"59","linguistics","William Labov","https://www.ling.upenn.edu/~wlabov/","","",""
"60","tech","stackoverflow","https://stackoverflow.com/questions","","",""
"61","tech","markdown comp","https://spec.commonmark.org/0.30/","","",""
"62","tech","bookdown","https://bookdown.org/yihui/rmarkdown/","RMarkdown compendium","",""
"63","tech","mdbook","https://rust-lang.github.io/mdBook/guide/installation.html","simple but great markdown book creator","",""
"64","tech","pandoc manual","https://pandoc.org/MANUAL.html","","",""
"65","tech","CSS comp","https://developer.mozilla.org/de/docs/Web/CSS/float","","",""
"66","tech","regex quick","https://ahkde.github.io/docs/misc/RegEx-QuickRef.htm#Common","regular expressions","",""
"67","tech","regex compend","https://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap09.html","regular expressions","",""
"68","tech","ICU","https://unicode-org.github.io/icu/userguide/strings/regexp.html","regular expressions","",""
"69","tech","regexr","https://regexr.com","regular expressions","",""
